,VIOO
symbol,VIOO
price,189.82
beta,0
volAvg,53431
mktCap,0
lastDiv,2.621
range,160.01-204.29
changes,4.54
companyName,Vanguard S&P Small-Cap 600 Index Fund
currency,USD
cik,
isin,US9219328286
cusip,921932828
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The advisor employs an indexing investment approach designed to track the performance of the S&P SmallCap 600® Index. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VIOO.png
ipoDate,2010-09-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
