,VGT
symbol,VGT
price,350.38
beta,0
volAvg,762050
mktCap,0
lastDiv,2.9090000000000003
range,291.62-429.68
changes,5.24
companyName,Vanguard Information Technology Index Fund
currency,USD
cik,0000052848
isin,US92204A7028
cusip,92204A702
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VGT.png
ipoDate,2004-01-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
