,DJAN
symbol,DJAN
price,30.855
beta,0
volAvg,92126
mktCap,0
lastDiv,0
range,29.67-32.925
changes,0.235
companyName,FT Cboe Vest U.S. Equity Deep Buffer ETF - January
currency,USD
cik,
isin,US33740F6319
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal market conditions, the fund will invest substantially all of its assets in FLexible EXchange® Options (""FLEX Options"") that reference the price performance of the SPDR® S&P 500® ETF Trust (the ""Underlying ETF""). FLEX Options are customized equity or index option contracts that trade on an exchange, but provide investors with the ability to customize key contract terms like exercise prices, styles and expiration dates. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DJAN.png
ipoDate,2021-01-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
